id_municipio,id_municipio_nome,id_estacao,estacao,data_fundacao,latitude,longitude,altitude
1508407,Xinguara,A247,Xinguara,2016-09-11,-7.110518,-49.926072,245.0
1502301,Capitão Poço,A248,Capitao Poco,2011-04-18,-1.73472221,-47.0575,79.1
1506807,Santarém,A250,Santarem,2015-09-02,-2.5025,-54.72027777,137.0
1502939,Dom Eliseu,A252,Dom Eliseu,2018-03-08,-4.28055554,-47.56388888,251.0
1500602,Altamira,A253,Altamira,2018-10-25,-3.27027777,-52.39472221,191.0
1506138,Redenção,A254,Redencao,2019-07-11,-8.04333333,-50.00694444,199.0
1506583,Santa Maria das Barreiras,A256,Santa Maria Das Barreiras,2020-12-18,-8.72972221,-49.85638888,165.0
1100205,Porto Velho,A925,Porto Velho,2007-07-11,-8.7936111,-63.84583333,86.7
1100304,Vilhena,A938,Vilhena,2008-08-26,-12.73499999,-60.15777777,583.3
1100049,Cacoal,A939,Cacoal,2008-07-20,-11.445837,-61.434146,183.53
1100023,Ariquemes,A940,Ariquemes,2008-07-18,-9.94888888,-62.96194444,128.44
1400100,Boa Vista,A135,Boa Vista,2010-08-26,2.81694443,-60.69083333,82.35
1721000,Palmas,A009,Palmas,2004-12-17,-10.190744,-48.301811,291.87
1716208,Paranã,A010,Parana,2005-03-04,-12.615,-47.87194443,284.96
1716604,Peixe,A018,Peixe,2006-12-01,-12.015377,-48.544517,250.87
1709500,Gurupi,A019,Gurupi,2006-12-20,-11.74583333,-49.04972221,279.07
1716505,Pedro Afonso,A020,Pedro Afonso,2007-01-23,-8.968677,-48.177259,189.71
1702109,Araguaína,A021,Araguaina,2007-01-26,-7.10388888,-48.20111111,230.76
1707009,Dianópolis,A038,Dianopolis,2008-08-30,-11.59444444,-46.84722221,727.87
1708205,Formoso do Araguaia,A039,Formoso Do Araguaia,2008-04-27,-11.88749999,-49.60833333,215.2
1712702,Mateiros,A040,Mateiros,2012-10-25,-10.43444444,-45.92194443,791.0
1703909,Caseara,A041,Marianopolis Do To,2012-11-24,-9.576389,-49.723333,186.69
1703842,Campos Lindos,A043,Campos Lindos,2012-10-29,-8.15472222,-46.63944444,426.56
1702208,Araguatins,A044,Araguatins,2009-03-12,-5.6436111,-48.11194444,130.71
1718865,Santa Fé do Araguaia,A048,Santa Fe Do Araguaia,2016-07-30,-7.124191,-48.781267,171.0
1705508,Colinas do Tocantins,A049,Colinas Do Tocantins,2016-11-11,-8.092708,-48.478605,200.0
1718758,Rio Sono,A050,Rio Sono,2016-08-03,-9.793363,-47.132732,291.0
1717503,Pium,A051,Pium,2016-04-06,-10.47694443,-49.62944443,161.0
1718907,Santa Rosa do Tocantins,A052,Santa Rosa Do Tocantins,2015-08-14,-11.42888888,-48.18499999,306.0
1700400,Almas,A053,Almas,2016-04-01,-11.28416666,-47.21222222,503.0
1702000,Araguaçu,A054,Araguacu,2015-08-19,-12.59222221,-49.5286111,231.0
1711902,Lagoa da Confusão,A055,Lagoa Da Confusao,2016-11-15,-10.828286,-49.847882,178.0
3205309,Vitória,A612,Vitoria,2006-10-31,-20.27083332,-40.30583333,9.0
3204500,Santa Leopoldina,A613,Santa Teresa,2007-08-09,-19.988388,-40.579572,975.92
3203205,Linhares,A614,Linhares,2006-10-27,-19.35694444,-40.0686111,40.0
3200300,Alfredo Chaves,A615,Alfredo Chaves,2006-11-03,-20.63638888,-40.74194444,14.19
3204906,São Mateus,A616,Sao Mateus,2006-10-25,-18.676198,-39.864051,28.66
3200201,Alegre,A617,Alegre,2006-10-25,-20.75055555,-41.48888888,138.0
3204302,Presidente Kennedy,A622,Pres. Kennedy,2008-06-18,-21.10083333,-41.03944444,69.12
3203908,Nova Venécia,A623,Nova Venecia,2008-06-22,-18.69527777,-40.39055555,156.02
3202108,Ecoporanga,A631,Ecoporanga,2017-03-17,-18.29138888,-40.73638888,224.0
3203353,Marilândia,A632,Marilandia,2017-03-22,-19.407181,-40.539825,95.0
